word,level,pos,definition_url,voice_url
a,A1,indefinite article,https://www.oxfordlearnersdictionaries.com/definition/english/a_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/a__/a__us/a__us_2_rr.ogg
abandon,B2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/abandon_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aba/aband/abandon__us_2.ogg
ability,A2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/ability_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abi/abili/ability__us_4.ogg
able,A2,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/able_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abl/able_/able__us_2.ogg
abolish,C1,verb,https://www.oxfordlearnersdictionaries.com/definition/english/abolish,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abo/aboli/abolish__us_1.ogg
abortion,C1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/abortion,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abo/abort/abortion__us_1.ogg
about,A1,adverb,https://www.oxfordlearnersdictionaries.com/definition/english/about_2,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abo/about/about__us_1.ogg
about,A1,preposition,https://www.oxfordlearnersdictionaries.com/definition/english/about_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abo/about/about__us_1.ogg
above,A1,adverb,https://www.oxfordlearnersdictionaries.com/definition/english/above_2,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abo/above/above__us_2.ogg
above,A1,preposition,https://www.oxfordlearnersdictionaries.com/definition/english/above_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abo/above/above__us_2.ogg
abroad,A2,adverb,https://www.oxfordlearnersdictionaries.com/definition/english/abroad,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abr/abroa/abroad__us_4.ogg
absence,C1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/absence,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abs/absen/absence__us_1.ogg
absent,C1,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/absent_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abs/absen/absent__us_1.ogg
absolute,B2,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/absolute_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abs/absol/absolute__us_1_rr.ogg
absolutely,B1,adverb,https://www.oxfordlearnersdictionaries.com/definition/english/absolutely,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abs/absol/absolutely__us_1_rr.ogg
absorb,B2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/absorb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abs/absor/absorb__us_2_rr.ogg
abstract,B2,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/abstract_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abs/abstr/abstract__us_2_rr.ogg
absurd,C1,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/absurd,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abs/absur/absurd__us_1_rr.ogg
abundance,C1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/abundance,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abu/abund/abundance__us_1.ogg
abuse,C1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/abuse_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abu/abuse/abuse__us_3.ogg
abuse,C1,verb,https://www.oxfordlearnersdictionaries.com/definition/english/abuse_2,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abu/abuse/abuse__us_1.ogg
academic,B1,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/academic_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aca/acade/academic__us_2.ogg
academic,B2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/academic_2,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aca/acade/academic__us_2.ogg
academy,C1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/academy,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aca/acade/academy__us_1.ogg
accelerate,C1,verb,https://www.oxfordlearnersdictionaries.com/definition/english/accelerate,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accel/accelerate__us_1.ogg
accent,B2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/accent_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accen/accent__us_1_rr.ogg
accept,A2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/accept,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accep/accept__us_1.ogg
acceptable,B2,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/acceptable,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accep/acceptable__us_3.ogg
acceptance,C1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/acceptance,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accep/acceptance__us_1.ogg
access,B1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/access_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/acces/access__us_2.ogg
access,B1,verb,https://www.oxfordlearnersdictionaries.com/definition/english/access_2,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/acces/access__us_2.ogg
accessible,C1,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/accessible,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/acces/accessible__us_1.ogg
accident,A2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/accident,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accid/accident__us_2_rr.ogg
accidentally,B2,adverb,https://www.oxfordlearnersdictionaries.com/definition/english/accidentally,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accid/accidentally__us_1.ogg
accommodate,B2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/accommodate,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accom/accommodate__us_1.ogg
accommodation,B1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/accommodation,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accom/accommodation__us_2.ogg
accompany,B2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/accompany,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accom/accompany__us_2.ogg
accomplish,B2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/accomplish,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accom/accomplish__us_1.ogg
accomplishment,C1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/accomplishment,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accom/accomplishment__us_1.ogg
accordance,C1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/accordance,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accor/accordance__us_1.ogg
according to,A2,preposition,https://www.oxfordlearnersdictionaries.com/definition/english/according-to,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accor/according_to_1_us_3.ogg
accordingly,C1,adverb,https://www.oxfordlearnersdictionaries.com/definition/english/accordingly,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accor/accordingly__us_1.ogg
account,B1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/account_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accou/account__us_1.ogg
account,B2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/account_2,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accou/account__us_1.ogg
accountability,C1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/accountability,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accou/accountability__us_1.ogg
accountable,C1,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/accountable,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accou/accountable__us_1.ogg
accountant,B2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/accountant,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accou/accountant__us_1.ogg
accounting,NAN,noun,https://www.oxfordlearnersdictionaries.com/definition/english/accounting,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accou/accounting__us_1.ogg
accumulate,C1,verb,https://www.oxfordlearnersdictionaries.com/definition/english/accumulate,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accum/accumulate__us_1.ogg
